gene,gen1,generation,rank_1,rank_2,rank_3,option_a,option_b,proposed,reason
Pig,Pezi,3,Pezeron,Boarbeat,,Pezeron,Boarbeat,,Pezeron develops the family name with a fuller rhythm. Boarbeat sounds like a move or musical term.
Pig,Pezi,4,Pezerk,,,Pezerk,Pezerk,,Both lists offer Pezerk. Its Pez and berserk blend gives the line a punchy and memorable finish.
Penguin,Piper,2,Pipraxis,Snowpebble,,Pipraxis,Snowpebble,,Pipraxis keeps Piper's opening and has a distinct creature identity. Snowpebble sounds like a small object.
Penguin,Piper,3,Polerix,Glideguard,,Polerix,Glideguard,,Polerix is compact and species-like. Glideguard reads as a role or defensive ability.
Penguin,Piper,4,Polamarch,,,Polamarch,Polamarch,,Both lists offer Polamarch. It develops Polerix's polar sound and evokes a penguin's recognizable gait.
Parrot,Posey,2,Posaro,Chattercrest,,Posaro,Chattercrest,,Posaro is fluent and retains Posey's identity. Chattercrest is longer and more descriptive.
Parrot,Posey,3,Posquawk,Poscarr,Skycaller,Poscarr,Skycaller,Posquawk,New Posquawk adds an unmistakable parrot cue to the family sound. Poscarr is clipped and opaque; Skycaller could describe almost any bird.
Parrot,Posey,4,Paracrest,Postguffen,,Postguffen,Paracrest,,Paracrest is clear and bird-associated. Postguffen is cumbersome and sounds like a surname or settlement.
Rhino,Ridley,2,Ridmar,Gravelram,,Ridmar,Gravelram,,Ridmar is concise and retains Ridley's lineage. Gravelram sounds like an attack involving terrain.
Rhino,Ridley,3,Rivram,Rivdak,Platecrash,Rivdak,Platecrash,Rivram,New Rivram adds a charging-animal cue to the existing sound. Rivdak is opaque and Platecrash sounds like an attack.
Rhino,Ridley,4,Rodruk,,,Rodruk,Rodruk,,Both lists offer Rodruk. Its heavy consonants and two clear syllables give the final rhino a distinctive name.
Rabbit,Roz,2,Rozip,Rozrapid,Quickburrow,Rozrapid,Quickburrow,Rozip,New Rozip combines Roz and zip cleanly. Rozrapid feels mechanically joined and Quickburrow reads as an action.
Rabbit,Roz,3,Rozbound,Runebound,Rostance,Rostance,Runebound,Rozbound,New Rozbound connects the family name with a rabbit's leap. Runebound sounds like a magical status and Rostance lacks a clear animal cue.
Rabbit,Roz,4,Rotai,,,Rotai,Rotai,,"Both lists offer Rotai. It is short and fluent, retaining the family opening while standing apart from the earlier stages."
Squirrel,Saturn,2,Satrune,Acornskip,,Satrune,Acornskip,,Satrune develops Saturn into a compact species name. Acornskip sounds like an action involving an object.
Squirrel,Saturn,3,Saturion,Boughburst,,Saturion,Boughburst,,Saturion gives the family a fuller and more commanding sound. Boughburst sounds like an attack.
Squirrel,Saturn,4,Satalis,,,Satalis,Satalis,,Both lists offer Satalis. It is easy to say and keeps the line recognizably related without repeating an earlier name.
Shark,Sheldon,2,Surfscar,Sheldrip,,Sheldrip,Surfscar,,Surfscar is vivid and memorable. Sheldrip sounds weak or unintentionally comic.
Shark,Sheldon,3,Reefbite,Shorebite,,Shorebite,Reefbite,,Reefbite has a sharper spoken rhythm and a clearer marine association. Shorebite feels less natural as a creature name.
Shark,Sheldon,4,Stormjaw,,,Stormjaw,Stormjaw,,Both lists offer Stormjaw. The strong rhythm and physical jaw cue make an easily remembered predator name.
Snake,Sirius,2,Sircoil,Slipcoil,,Sircoil,Slipcoil,,Sircoil preserves Sirius' opening and adds a clear snake cue. Slipcoil reads more like an action.
Snake,Sirius,3,Glassfang,Slycoil,,Slycoil,Glassfang,,Glassfang has a vivid physical image and gives this stage a distinct sound. Slycoil is too close to the selected Gen 2 Sircoil when spoken.
Snake,Sirius,4,Sibilisk,,,Sibilisk,Sibilisk,,Both lists offer Sibilisk. Its hissing sound and serpent-like ending form a distinctive and pronounceable finale.
Sloth,Speed,2,Snooth,Spesnooze,Leafdrape,Spesnooze,Leafdrape,Snooth,New Snooth blends snooze and sloth into one memorable syllable. Spesnooze is awkward to say and Leafdrape sounds like an object.
Sloth,Speed,3,Slowsway,Driftbough,,Slowsway,Driftbough,,Slowsway directly evokes the sloth's movement with an easy rhythm. Driftbough sounds like a floating branch.
Sloth,Speed,4,Slumboth,Sleepstone,,Sleepstone,Sleepstone,Slumboth,"New Slumboth blends slumber and sloth into a clear creature name. Both lists offer Sleepstone, which reads as an item."
Sabretooth,Speers,2,Spedran,Emberpelt,,Spedran,Emberpelt,,Spedran retains Speers' opening and feels like a species. Emberpelt is evocative but reads more like a coat description.
Sabretooth,Speers,3,Spireclaw,Brandclaw,,Spireclaw,Brandclaw,,Spireclaw has a sharper and more memorable feline silhouette. Brandclaw is less natural to say and feels more like an epithet.
Sabretooth,Speers,4,Scorchfang,,,Scorchfang,Scorchfang,,Both lists offer Scorchfang. Its hard ending and prominent fang cue give the predator a memorable finale while retaining the source's fire imagery.
Turtle,Tadeo,2,Tadshell,Shellbrace,,Tadshell,Shellbrace,,Tadshell keeps Tadeo's family sound and clearly identifies a shelled animal. Shellbrace reads as a defensive move.
Turtle,Tadeo,3,Tiderock,Rockslide,,Tiderock,Rockslide,,Tiderock is more distinctive as a creature name and leads into Tidecano. Rockslide is an ordinary event or attack label.
Turtle,Tadeo,4,Tidecano,,,Tidecano,Tidecano,,Both lists offer Tidecano. Its tide and volcano blend gives the established water-and-rock imagery a fluent three-syllable finish.
Tiger,Tilden,2,Tilvar,Strideclaw,,Tilvar,Strideclaw,,Tilvar is concise and clearly related to Tilden. Strideclaw is a less natural descriptive compound.
Tiger,Tilden,3,Tilroar,Trailroar,Roarcutter,Trailroar,Roarcutter,Tilroar,New Tilroar directly joins the family stem with a feline cue. Trailroar feels less connected and Roarcutter sounds like an attack.
Tiger,Tilden,4,Tigrava,Thunderclash,,Thunderclash,Thunderclash,Tigrava,"New Tigrava blends tiger and ravage into a strong species name. Both lists offer Thunderclash, which sounds like a generic attack or event."
Whale,Wai,2,Wairen,Soundwake,,Wairen,Soundwake,,Wairen preserves Wai in a short and flowing name. Soundwake describes an acoustic or water event.
Whale,Wai,3,Waitide,Deeprow,,Waitide,Deeprow,,Waitide continues the family identity with a clear marine cue. Deeprow is less fluent and suggests rowing.
Whale,Wai,4,Waveseer,,,Waveseer,Waveseer,,Both lists offer Waveseer. It is distinctive and easy to say with a memorable ocean-associated finish.
Wolf,Wila,2,Wildern,Fenrunner,,Wildern,Fenrunner,,Wildern preserves Wila's opening and sounds like a species. Fenrunner reads as a habitat-based role.
Wolf,Wila,3,Howlgrim,Wildern,,Wildern,Howlgrim,,Howlgrim adds a clear wolf cue and stronger progression. Wildern is rejected here because it would repeat the selected Gen 2 name.
Wolf,Wila,4,Wulvorn,Warstrike,,Warstrike,Warstrike,Wulvorn,"New Wulvorn keeps an audible wolf cue in a distinctive final name. Both lists offer Warstrike, which could be an attack for any creature."
Wildcat,Wynter,2,Wynrel,Brushpelt,,Wynrel,Brushpelt,,Wynrel preserves Wynter's identity with a clean two-syllable form. Brushpelt describes a coat or habitat.
Wildcat,Wynter,3,Wynclaw,Wyvstripe,Stripedrift,Wyvstripe,Stripedrift,Wynclaw,New Wynclaw joins the family stem with a direct feline cue. Wyvstripe is awkward to pronounce and Stripedrift sounds like a pattern or movement.
Wildcat,Wynter,4,Wynscar,,,Wynscar,Wynscar,,Both lists offer Wynscar. It is compact and memorable with clear continuity from the fixed Gen 1 name.
Zebra,Zandra,2,Zarnet,Stepstripe,,Zarnet,Stepstripe,,Zarnet is compact and retains Zandra's opening. Stepstripe feels like a literal movement description.
Zebra,Zandra,3,Zastri,Dashband,,Zastri,Dashband,,Zastri compresses a stripe association into a distinctive species name. Dashband sounds like an accessory or ability.
Zebra,Zandra,4,Zestreak,,,Zestreak,Zestreak,,Both lists offer Zestreak. Its lively sound and streak or stripe association close the line memorably.
